,price.open,price.high,price.low,price.close,volume,price.adjusted,oil price,ref.date,ticker,ret.adjusted.prices,ret.closing.prices,pct change,direction
143,20,20.360001,19.41,20,2164700,20,62.12,5/9/2019,CRC,-0.018645683,-0.018645683,-1.899272544,D
144,19.9,20.309999,19.48,20.09,1550400,20.09,61.7,5/10/2019,CRC,0.0045,0.0045,-0.237608622,D
145,20.43,20.780001,18.77,18.879999,2280900,18.879999,61.66,5/13/2019,CRC,-0.060229019,-0.060229019,2.153273991,U
146,19.25,20.17,19.16,19.950001,1810100,19.950001,61.04,5/14/2019,CRC,0.056673838,0.056673838,3.503130323,U
147,19.639999,20.32,19.190001,20.15,1806000,20.15,61.78,5/15/2019,CRC,0.010025012,0.010025012,1.746931095,U
148,20.309999,22.49,20.209999,22.129999,4211300,22.129999,62.02,5/16/2019,CRC,0.098262978,0.098262978,-1.033153463,D
149,21.77,22.26,21.200001,21.26,2209300,21.26,62.908,5/17/2019,CRC,-0.039313106,-0.039313106,1.614637909,U
150,21.209999,21.65,21.09,21.459999,1308000,21.459999,62.824,5/20/2019,CRC,0.009407291,0.009407291,-2.161314085,D
151,21.52,22.43,21.48,22.309999,1515600,22.309999,63.166,5/21/2019,CRC,0.039608576,0.039608576,-9.253628998,D
152,21.77,21.93,20.030001,20.08,2272900,20.08,63.102,5/22/2019,CRC,-0.099955137,-0.099955137,-6.04763677,D
153,19.01,19.01,16.75,16.83,3653100,16.83,61.42,5/23/2019,CRC,-0.16185259,-0.16185259,-1.020408163,D
154,17.32,17.51,16.35,16.83,2606900,16.83,57.91,5/24/2019,CRC,0,0,0.734857979,U
155,17,17.1,16.23,16.32,1812700,16.32,58.63,5/28/2019,CRC,-0.03030303,-0.03030303,1.091488347,U
156,15.84,17.24,15.742,17.200001,2041100,17.200001,59.14,5/29/2019,CRC,0.05392163,0.05392163,-1.989257888,D
157,17.200001,17.82,16.84,16.870001,1866100,16.870001,58.81,5/30/2019,CRC,-0.019186045,-0.019186045,-0.140368956,D
158,16.23,16.809999,16.059999,16.200001,1653000,16.200001,56.59,5/31/2019,CRC,-0.039715469,-0.039715469,2.554959398,U
159,16.620001,17.23,16.1,16.799999,1862400,16.799999,53.5,6/3/2019,CRC,0.037036911,0.037036911,-3.087165115,D
160,17.139999,17.700001,16.75,17.49,1481000,17.49,53.25,6/4/2019,CRC,0.041071491,0.041071491,-4.600333056,D
161,17.309999,17.309999,15.23,15.27,2751200,15.27,53.48,6/5/2019,CRC,-0.126929674,-0.126929674,2.676297734,U
162,15.32,15.66,14.88,15.28,1892000,15.28,51.68,6/6/2019,CRC,0.000654879,0.000654879,2.079436387,U
163,15.25,16.65,15.08,16.530001,2123400,16.530001,52.59,6/7/2019,CRC,0.081806348,0.081806348,0.6643849,U
164,16.620001,17.1,16.049999,16.280001,1753200,16.280001,53.99,6/10/2019,CRC,-0.015124016,-0.015124016,-0.508440075,D
